dataset,year,variable,short,value,value_label,count,is_valid
ACWF,1990,w618,widow-remarry-leave-property,1,1、非常同意,872,True
ACWF,1990,w618,widow-remarry-leave-property,2,2、同意,8330,True
ACWF,1990,w618,widow-remarry-leave-property,3,3、无所谓,2587,True
ACWF,1990,w618,widow-remarry-leave-property,4,4、不一定,5957,True
ACWF,1990,w618,widow-remarry-leave-property,5,5、不同意,5961,True
ACWF,2000,i3_a,men-society/women-family,1,非常同意,3378,True
ACWF,2000,i3_a,men-society/women-family,2,比较同意,5848,True
ACWF,2000,i3_a,men-society/women-family,3,不太同意,6322,True
ACWF,2000,i3_a,men-society/women-family,4,很不同意,3414,True
ACWF,2000,i3_a,men-society/women-family,8,说不清,0,False
ACWF,2000,i3_a,men-society/women-family,9,不回答,0,False
ACWF,2000,i3_b,men-innately-more-capable,1,非常同意,1809,True
ACWF,2000,i3_b,men-innately-more-capable,2,比较同意,3919,True
ACWF,2000,i3_b,men-innately-more-capable,3,不太同意,8309,True
ACWF,2000,i3_b,men-innately-more-capable,4,很不同意,4831,True
ACWF,2000,i3_b,men-innately-more-capable,8,说不清,0,False
ACWF,2000,i3_b,men-innately-more-capable,9,不回答,0,False
ACWF,2000,i3_c,marry-well-over-work,1,非常同意,2064,True
ACWF,2000,i3_c,marry-well-over-work,2,比较同意,4468,True
ACWF,2000,i3_c,marry-well-over-work,3,不太同意,7150,True
ACWF,2000,i3_c,marry-well-over-work,4,很不同意,4655,True
ACWF,2000,i3_c,marry-well-over-work,8,说不清,0,False
ACWF,2000,i3_c,marry-well-over-work,9,不回答,0,False
ACWF,2000,i3_d,woman-needs-children,1,非常同意,1586,True
ACWF,2000,i3_d,woman-needs-children,2,比较同意,3320,True
ACWF,2000,i3_d,woman-needs-children,3,不太同意,7107,True
ACWF,2000,i3_d,woman-needs-children,4,很不同意,6010,True
ACWF,2000,i3_d,woman-needs-children,8,说不清,0,False
ACWF,2000,i3_d,woman-needs-children,9,不回答,0,False
ACWF,2000,i3_e,women-avoid-surpassing-husband,1,非常同意,973,True
ACWF,2000,i3_e,women-avoid-surpassing-husband,2,比较同意,2712,True
ACWF,2000,i3_e,women-avoid-surpassing-husband,3,不太同意,8468,True
ACWF,2000,i3_e,women-avoid-surpassing-husband,4,很不同意,5994,True
ACWF,2000,i3_e,women-avoid-surpassing-husband,8,说不清,0,False
ACWF,2000,i3_e,women-avoid-surpassing-husband,9,不回答,0,False
ACWF,2000,i3_g,women-looks-over-ability,1,非常同意,1684,True
ACWF,2000,i3_g,women-looks-over-ability,2,比较同意,4572,True
ACWF,2000,i3_g,women-looks-over-ability,3,不太同意,7268,True
ACWF,2000,i3_g,women-looks-over-ability,4,很不同意,4350,True
ACWF,2000,i3_g,women-looks-over-ability,8,说不清,0,False
ACWF,2000,i3_g,women-looks-over-ability,9,不回答,0,False
ACWF,2000,i3_h,30pct-women-leaders,1,非常同意,6867,True
ACWF,2000,i3_h,30pct-women-leaders,2,比较同意,7875,True
ACWF,2000,i3_h,30pct-women-leaders,3,不太同意,1763,True
ACWF,2000,i3_h,30pct-women-leaders,4,很不同意,450,True
ACWF,2000,i3_h,30pct-women-leaders,8,说不清,0,False
ACWF,2000,i3_h,30pct-women-leaders,9,不回答,0,False
ACWF,2000,i3_i,men-share-half-housework,1,非常同意,7881,True
ACWF,2000,i3_i,men-share-half-housework,2,比较同意,8372,True
ACWF,2000,i3_i,men-share-half-housework,3,不太同意,2133,True
ACWF,2000,i3_i,men-share-half-housework,4,很不同意,417,True
ACWF,2000,i3_i,men-share-half-housework,8,说不清,0,False
ACWF,2000,i3_i,men-share-half-housework,9,不回答,0,False
ACWF,2010,J2A,women-no-less-capable,1,非常同意,10802,True
ACWF,2010,J2A,women-no-less-capable,2,比较同意,11048,True
ACWF,2010,J2A,women-no-less-capable,3,不太同意,3055,True
ACWF,2010,J2A,women-no-less-capable,4,很不同意,795,True
ACWF,2010,J2A,women-no-less-capable,7,不适用,0,False
ACWF,2010,J2A,women-no-less-capable,8,说不清,462,False
ACWF,2010,J2B,men-society/women-family,1,非常同意,4550,True
ACWF,2010,J2B,men-society/women-family,2,比较同意,10585,True
ACWF,2010,J2B,men-society/women-family,3,不太同意,8537,True
ACWF,2010,J2B,men-society/women-family,4,很不同意,2091,True
ACWF,2010,J2B,men-society/women-family,7,不适用,0,False
ACWF,2010,J2B,men-society/women-family,8,说不清,400,False
ACWF,2010,J2C,breadwinning-mens-job,1,非常同意,5237,True
ACWF,2010,J2C,breadwinning-mens-job,2,比较同意,9425,True
ACWF,2010,J2C,breadwinning-mens-job,3,不太同意,9227,True
ACWF,2010,J2C,breadwinning-mens-job,4,很不同意,1980,True
ACWF,2010,J2C,breadwinning-mens-job,7,不适用,0,False
ACWF,2010,J2C,breadwinning-mens-job,8,说不清,294,False
ACWF,2010,J2D,husband-career-more-important,1,非常同意,4973,True
ACWF,2010,J2D,husband-career-more-important,2,比较同意,10035,True
ACWF,2010,J2D,husband-career-more-important,3,不太同意,8668,True
ACWF,2010,J2D,husband-career-more-important,4,很不同意,1723,True
ACWF,2010,J2D,husband-career-more-important,7,不适用,0,False
ACWF,2010,J2D,husband-career-more-important,8,说不清,764,False
ACWF,2010,J2E,men-share-housework,1,非常同意,8936,True
ACWF,2010,J2E,men-share-housework,2,比较同意,13796,True
ACWF,2010,J2E,men-share-housework,3,不太同意,2757,True
ACWF,2010,J2E,men-share-housework,4,很不同意,386,True
ACWF,2010,J2E,men-share-housework,7,不适用,0,False
ACWF,2010,J2E,men-share-housework,8,说不清,288,False
ACWF,2010,J2F,boys-be-boys-girls-be-girls,1,非常同意,10569,True
ACWF,2010,J2F,boys-be-boys-girls-be-girls,2,比较同意,12435,True
ACWF,2010,J2F,boys-be-boys-girls-be-girls,3,不太同意,2347,True
ACWF,2010,J2F,boys-be-boys-girls-be-girls,4,很不同意,359,True
ACWF,2010,J2F,boys-be-boys-girls-be-girls,7,不适用,0,False
ACWF,2010,J2F,boys-be-boys-girls-be-girls,8,说不清,453,False
ACWF,2010,J2G,marry-well-over-work,1,非常同意,3886,True
ACWF,2010,J2G,marry-well-over-work,2,比较同意,7641,True
ACWF,2010,J2G,marry-well-over-work,3,不太同意,9805,True
ACWF,2010,J2G,marry-well-over-work,4,很不同意,3595,True
ACWF,2010,J2G,marry-well-over-work,7,不适用,0,False
ACWF,2010,J2G,marry-well-over-work,8,说不清,1236,False
ACWF,2010,J2H,equal-leadership,1,非常同意,6090,True
ACWF,2010,J2H,equal-leadership,2,比较同意,12843,True
ACWF,2010,J2H,equal-leadership,3,不太同意,4086,True
ACWF,2010,J2H,equal-leadership,4,很不同意,515,True
ACWF,2010,J2H,equal-leadership,7,不适用,0,False
ACWF,2010,J2H,equal-leadership,8,说不清,2629,False
ACWF,2010,J2I,actively-promote-equality,1,非常同意,10456,True
ACWF,2010,J2I,actively-promote-equality,2,比较同意,12231,True
ACWF,2010,J2I,actively-promote-equality,3,不太同意,1156,True
ACWF,2010,J2I,actively-promote-equality,4,很不同意,169,True
ACWF,2010,J2I,actively-promote-equality,7,不适用,0,False
ACWF,2010,J2I,actively-promote-equality,8,说不清,2151,False
CFPS,2014,qm1101,men-career/women-family,-10,无法判断,0,False
CFPS,2014,qm1101,men-career/women-family,-9,缺失,0,False
CFPS,2014,qm1101,men-career/women-family,-8,不适用,0,False
CFPS,2014,qm1101,men-career/women-family,-2,拒绝回答,5,False
CFPS,2014,qm1101,men-career/women-family,-1,不知道,81,False
CFPS,2014,qm1102,marry-well-over-work,-10,无法判断,0,False
CFPS,2014,qm1102,marry-well-over-work,-9,缺失,0,False
CFPS,2014,qm1102,marry-well-over-work,-8,不适用,0,False
CFPS,2014,qm1102,marry-well-over-work,-2,拒绝回答,6,False
CFPS,2014,qm1102,marry-well-over-work,-1,不知道,157,False
CFPS,2014,qm1103,woman-needs-children,-10,无法判断,0,False
CFPS,2014,qm1103,woman-needs-children,-9,缺失,0,False
CFPS,2014,qm1103,woman-needs-children,-8,不适用,0,False
CFPS,2014,qm1103,woman-needs-children,-2,拒绝回答,9,False
CFPS,2014,qm1103,woman-needs-children,-1,不知道,101,False
CFPS,2014,qm1104,men-share-half-housework,-10,无法判断,0,False
CFPS,2014,qm1104,men-share-half-housework,-9,缺失,0,False
CFPS,2014,qm1104,men-share-half-housework,-8,不适用,0,False
CFPS,2014,qm1104,men-share-half-housework,-2,拒绝回答,7,False
CFPS,2014,qm1104,men-share-half-housework,-1,不知道,75,False
CFPS,2020,qm1101,men-career/women-family,-10,无法判断,0,False
CFPS,2020,qm1101,men-career/women-family,-9,缺失,0,False
CFPS,2020,qm1101,men-career/women-family,-8,不适用,2384,False
CFPS,2020,qm1101,men-career/women-family,-2,拒绝回答,2,False
CFPS,2020,qm1101,men-career/women-family,-1,不知道,22,False
CFPS,2020,qm1102,marry-well-over-work,-10,无法判断,0,False
CFPS,2020,qm1102,marry-well-over-work,-9,缺失,0,False
CFPS,2020,qm1102,marry-well-over-work,-8,不适用,2385,False
CFPS,2020,qm1102,marry-well-over-work,-2,拒绝回答,5,False
CFPS,2020,qm1102,marry-well-over-work,-1,不知道,75,False
CFPS,2020,qm1103,woman-needs-children,-10,无法判断,0,False
CFPS,2020,qm1103,woman-needs-children,-9,缺失,0,False
CFPS,2020,qm1103,woman-needs-children,-8,不适用,2387,False
CFPS,2020,qm1103,woman-needs-children,-2,拒绝回答,4,False
CFPS,2020,qm1103,woman-needs-children,-1,不知道,55,False
CFPS,2020,qm1104,men-share-half-housework,-10,无法判断,0,False
CFPS,2020,qm1104,men-share-half-housework,-9,缺失,0,False
CFPS,2020,qm1104,men-share-half-housework,-8,不适用,2388,False
CFPS,2020,qm1104,men-share-half-housework,-2,拒绝回答,2,False
CFPS,2020,qm1104,men-share-half-housework,-1,不知道,23,False
CGSS,2010,a421,men-career/women-family,-3,拒绝回答缺失值,23,False
CGSS,2010,a421,men-career/women-family,-2,不知道缺失值,4,False
CGSS,2010,a421,men-career/women-family,-1,不适用缺失值,0,False
CGSS,2010,a421,men-career/women-family,1,完全不同意,814,True
CGSS,2010,a421,men-career/women-family,2,比较不同意,2125,True
CGSS,2010,a421,men-career/women-family,3,无所谓同意不同意,1042,True
CGSS,2010,a421,men-career/women-family,4,比较同意,4813,True
CGSS,2010,a421,men-career/women-family,5,完全同意,2962,True
CGSS,2010,a422,men-innately-more-capable,-3,拒绝回答缺失值,41,False
CGSS,2010,a422,men-innately-more-capable,-2,不知道缺失值,4,False
CGSS,2010,a422,men-innately-more-capable,-1,不适用缺失值,0,False
CGSS,2010,a422,men-innately-more-capable,1,完全不同意,1500,True
CGSS,2010,a422,men-innately-more-capable,2,比较不同意,3748,True
CGSS,2010,a422,men-innately-more-capable,3,无所谓同意不同意,1508,True
CGSS,2010,a422,men-innately-more-capable,4,比较同意,3523,True
CGSS,2010,a422,men-innately-more-capable,5,完全同意,1459,True
CGSS,2010,a423,marry-well-over-work,-3,拒绝回答缺失值,63,False
CGSS,2010,a423,marry-well-over-work,-2,不知道缺失值,2,False
CGSS,2010,a423,marry-well-over-work,-1,不适用缺失值,0,False
CGSS,2010,a423,marry-well-over-work,1,完全不同意,1281,True
CGSS,2010,a423,marry-well-over-work,2,比较不同意,2823,True
CGSS,2010,a423,marry-well-over-work,3,无所谓同意不同意,2278,True
CGSS,2010,a423,marry-well-over-work,4,比较同意,3844,True
CGSS,2010,a423,marry-well-over-work,5,完全同意,1492,True
CGSS,2010,a424,fire-women-first,-3,拒绝回答缺失值,69,False
CGSS,2010,a424,fire-women-first,-2,不知道缺失值,24,False
CGSS,2010,a424,fire-women-first,-1,不适用缺失值,1,False
CGSS,2010,a424,fire-women-first,1,完全不同意,3762,True
CGSS,2010,a424,fire-women-first,2,比较不同意,4487,True
CGSS,2010,a424,fire-women-first,3,无所谓同意不同意,2176,True
CGSS,2010,a424,fire-women-first,4,比较同意,935,True
CGSS,2010,a424,fire-women-first,5,完全同意,329,True
CGSS,2010,a425,equal-housework-split,-3,拒绝回答缺失值,30,False
CGSS,2010,a425,equal-housework-split,-2,不知道缺失值,4,False
CGSS,2010,a425,equal-housework-split,-1,不适用缺失值,0,False
CGSS,2010,a425,equal-housework-split,1,完全不同意,314,True
CGSS,2010,a425,equal-housework-split,2,比较不同意,1288,True
CGSS,2010,a425,equal-housework-split,3,无所谓同意不同意,1569,True
CGSS,2010,a425,equal-housework-split,4,比较同意,4761,True
CGSS,2010,a425,equal-housework-split,5,完全同意,3817,True
CGSS,2012,a421,men-career/women-family,-3,拒绝回答缺失值,8,False
CGSS,2012,a421,men-career/women-family,-2,不知道缺失值,8,False
CGSS,2012,a421,men-career/women-family,-1,不适用缺失值,1,False
CGSS,2012,a421,men-career/women-family,1,完全不同意,678,True
CGSS,2012,a421,men-career/women-family,2,比较不同意,2373,True
CGSS,2012,a421,men-career/women-family,3,无所谓同意不同意,1164,True
CGSS,2012,a421,men-career/women-family,4,比较同意,5535,True
CGSS,2012,a421,men-career/women-family,5,完全同意,1998,True
CGSS,2012,a422,men-innately-more-capable,-3,拒绝回答缺失值,18,False
CGSS,2012,a422,men-innately-more-capable,-2,不知道缺失值,13,False
CGSS,2012,a422,men-innately-more-capable,-1,不适用缺失值,1,False
CGSS,2012,a422,men-innately-more-capable,1,完全不同意,1204,True
CGSS,2012,a422,men-innately-more-capable,2,比较不同意,3791,True
CGSS,2012,a422,men-innately-more-capable,3,无所谓同意不同意,1632,True
CGSS,2012,a422,men-innately-more-capable,4,比较同意,4003,True
CGSS,2012,a422,men-innately-more-capable,5,完全同意,1103,True
CGSS,2012,a423,marry-well-over-work,-3,拒绝回答缺失值,19,False
CGSS,2012,a423,marry-well-over-work,-2,不知道缺失值,12,False
CGSS,2012,a423,marry-well-over-work,-1,不适用缺失值,2,False
CGSS,2012,a423,marry-well-over-work,1,完全不同意,1122,True
CGSS,2012,a423,marry-well-over-work,2,比较不同意,2944,True
CGSS,2012,a423,marry-well-over-work,3,无所谓同意不同意,2231,True
CGSS,2012,a423,marry-well-over-work,4,比较同意,4312,True
CGSS,2012,a423,marry-well-over-work,5,完全同意,1123,True
CGSS,2012,a424,fire-women-first,-3,拒绝回答缺失值,17,False
CGSS,2012,a424,fire-women-first,-2,不知道缺失值,29,False
CGSS,2012,a424,fire-women-first,-1,不适用缺失值,8,False
CGSS,2012,a424,fire-women-first,1,完全不同意,3348,True
CGSS,2012,a424,fire-women-first,2,比较不同意,5126,True
CGSS,2012,a424,fire-women-first,3,无所谓同意不同意,1941,True
CGSS,2012,a424,fire-women-first,4,比较同意,1111,True
CGSS,2012,a424,fire-women-first,5,完全同意,185,True
CGSS,2012,a425,equal-housework-split,-3,拒绝回答缺失值,11,False
CGSS,2012,a425,equal-housework-split,-2,不知道缺失值,5,False
CGSS,2012,a425,equal-housework-split,-1,不适用缺失值,2,False
CGSS,2012,a425,equal-housework-split,1,完全不同意,277,True
CGSS,2012,a425,equal-housework-split,2,比较不同意,1319,True
CGSS,2012,a425,equal-housework-split,3,无所谓同意不同意,1628,True
CGSS,2012,a425,equal-housework-split,4,比较同意,5600,True
CGSS,2012,a425,equal-housework-split,5,完全同意,2923,True
CGSS,2013,a421,men-career/women-family,-3,拒绝回答缺失值,9,False
CGSS,2013,a421,men-career/women-family,-2,不知道缺失值,13,False
CGSS,2013,a421,men-career/women-family,-1,不适用缺失值,0,False
CGSS,2013,a421,men-career/women-family,1,完全不同意,630,True
CGSS,2013,a421,men-career/women-family,2,比较不同意,2420,True
CGSS,2013,a421,men-career/women-family,3,无所谓同意不同意,1524,True
CGSS,2013,a421,men-career/women-family,4,比较同意,5260,True
CGSS,2013,a421,men-career/women-family,5,完全同意,1582,True
CGSS,2013,a422,men-innately-more-capable,-3,拒绝回答缺失值,14,False
CGSS,2013,a422,men-innately-more-capable,-2,不知道缺失值,18,False
CGSS,2013,a422,men-innately-more-capable,-1,不适用缺失值,2,False
CGSS,2013,a422,men-innately-more-capable,1,完全不同意,1108,True
CGSS,2013,a422,men-innately-more-capable,2,比较不同意,3667,True
CGSS,2013,a422,men-innately-more-capable,3,无所谓同意不同意,1886,True
CGSS,2013,a422,men-innately-more-capable,4,比较同意,3875,True
CGSS,2013,a422,men-innately-more-capable,5,完全同意,868,True
CGSS,2013,a423,marry-well-over-work,-3,拒绝回答缺失值,16,False
CGSS,2013,a423,marry-well-over-work,-2,不知道缺失值,23,False
CGSS,2013,a423,marry-well-over-work,-1,不适用缺失值,0,False
CGSS,2013,a423,marry-well-over-work,1,完全不同意,966,True
CGSS,2013,a423,marry-well-over-work,2,比较不同意,2927,True
CGSS,2013,a423,marry-well-over-work,3,无所谓同意不同意,2651,True
CGSS,2013,a423,marry-well-over-work,4,比较同意,3902,True
CGSS,2013,a423,marry-well-over-work,5,完全同意,953,True
CGSS,2013,a424,fire-women-first,-3,拒绝回答缺失值,34,False
CGSS,2013,a424,fire-women-first,-2,不知道缺失值,80,False
CGSS,2013,a424,fire-women-first,-1,不适用缺失值,2,False
CGSS,2013,a424,fire-women-first,1,完全不同意,2851,True
CGSS,2013,a424,fire-women-first,2,比较不同意,4575,True
CGSS,2013,a424,fire-women-first,3,无所谓同意不同意,2576,True
CGSS,2013,a424,fire-women-first,4,比较同意,1144,True
CGSS,2013,a424,fire-women-first,5,完全同意,176,True
CGSS,2013,a425,equal-housework-split,-3,拒绝回答缺失值,18,False
CGSS,2013,a425,equal-housework-split,-2,不知道缺失值,11,False
CGSS,2013,a425,equal-housework-split,-1,不适用缺失值,2,False
CGSS,2013,a425,equal-housework-split,1,完全不同意,248,True
CGSS,2013,a425,equal-housework-split,2,比较不同意,1328,True
CGSS,2013,a425,equal-housework-split,3,无所谓同意不同意,2229,True
CGSS,2013,a425,equal-housework-split,4,比较同意,5151,True
CGSS,2013,a425,equal-housework-split,5,完全同意,2451,True
CGSS,2015,a421,men-career/women-family,-8,无法回答,61,False
CGSS,2015,a421,men-career/women-family,-3,拒绝回答,0,False
CGSS,2015,a421,men-career/women-family,-2,不知道,0,False
CGSS,2015,a421,men-career/women-family,-1,不适用,0,False
CGSS,2015,a421,men-career/women-family,1,完全不同意,678,True
CGSS,2015,a421,men-career/women-family,2,比较不同意,2599,True
CGSS,2015,a421,men-career/women-family,3,无所谓同意不同意,1211,True
CGSS,2015,a421,men-career/women-family,4,比较同意,4890,True
CGSS,2015,a421,men-career/women-family,5,完全同意,1529,True
CGSS,2015,a422,men-innately-more-capable,-8,无法回答,74,False
CGSS,2015,a422,men-innately-more-capable,-3,拒绝回答,0,False
CGSS,2015,a422,men-innately-more-capable,-2,不知道,0,False
CGSS,2015,a422,men-innately-more-capable,-1,不适用,0,False
CGSS,2015,a422,men-innately-more-capable,1,完全不同意,950,True
CGSS,2015,a422,men-innately-more-capable,2,比较不同意,3606,True
CGSS,2015,a422,men-innately-more-capable,3,无所谓同意不同意,1600,True
CGSS,2015,a422,men-innately-more-capable,4,比较同意,3842,True
CGSS,2015,a422,men-innately-more-capable,5,完全同意,896,True
CGSS,2015,a423,marry-well-over-work,-8,无法回答,140,False
CGSS,2015,a423,marry-well-over-work,-3,拒绝回答,0,False
CGSS,2015,a423,marry-well-over-work,-2,不知道,0,False
CGSS,2015,a423,marry-well-over-work,-1,不适用,0,False
CGSS,2015,a423,marry-well-over-work,1,完全不同意,821,True
CGSS,2015,a423,marry-well-over-work,2,比较不同意,2971,True
CGSS,2015,a423,marry-well-over-work,3,无所谓同意不同意,2231,True
CGSS,2015,a423,marry-well-over-work,4,比较同意,3815,True
CGSS,2015,a423,marry-well-over-work,5,完全同意,990,True
CGSS,2015,a424,fire-women-first,-8,无法回答,338,False
CGSS,2015,a424,fire-women-first,-3,拒绝回答,0,False
CGSS,2015,a424,fire-women-first,-2,不知道,0,False
CGSS,2015,a424,fire-women-first,-1,不适用,0,False
CGSS,2015,a424,fire-women-first,1,完全不同意,2457,True
CGSS,2015,a424,fire-women-first,2,比较不同意,4964,True
CGSS,2015,a424,fire-women-first,3,无所谓同意不同意,1806,True
CGSS,2015,a424,fire-women-first,4,比较同意,1206,True
CGSS,2015,a424,fire-women-first,5,完全同意,197,True
CGSS,2015,a425,equal-housework-split,-8,无法回答,87,False
CGSS,2015,a425,equal-housework-split,-3,拒绝回答,0,False
CGSS,2015,a425,equal-housework-split,-2,不知道,0,False
CGSS,2015,a425,equal-housework-split,-1,不适用,0,False
CGSS,2015,a425,equal-housework-split,1,完全不同意,242,True
CGSS,2015,a425,equal-housework-split,2,比较不同意,1148,True
CGSS,2015,a425,equal-housework-split,3,无所谓同意不同意,1819,True
CGSS,2015,a425,equal-housework-split,4,比较同意,5121,True
CGSS,2015,a425,equal-housework-split,5,完全同意,2551,True
CGSS,2017,a421,men-career/women-family,1,完全不同意,1331,True
CGSS,2017,a421,men-career/women-family,2,比较不同意,3435,True
CGSS,2017,a421,men-career/women-family,3,无所谓同意不同意,1135,True
CGSS,2017,a421,men-career/women-family,4,比较同意,4713,True
CGSS,2017,a421,men-career/women-family,5,完全同意,1925,True
CGSS,2017,a421,men-career/women-family,98,不知道,41,False
CGSS,2017,a421,men-career/women-family,99,拒绝回答,2,False
CGSS,2017,a422,men-innately-more-capable,1,完全不同意,1589,True
CGSS,2017,a422,men-innately-more-capable,2,比较不同意,4398,True
CGSS,2017,a422,men-innately-more-capable,3,无所谓同意不同意,1486,True
CGSS,2017,a422,men-innately-more-capable,4,比较同意,3889,True
CGSS,2017,a422,men-innately-more-capable,5,完全同意,1135,True
CGSS,2017,a422,men-innately-more-capable,98,不知道,81,False
CGSS,2017,a422,men-innately-more-capable,99,拒绝回答,4,False
CGSS,2017,a423,marry-well-over-work,1,完全不同意,1420,True
CGSS,2017,a423,marry-well-over-work,2,比较不同意,3441,True
CGSS,2017,a423,marry-well-over-work,3,无所谓同意不同意,1936,True
CGSS,2017,a423,marry-well-over-work,4,比较同意,4291,True
CGSS,2017,a423,marry-well-over-work,5,完全同意,1384,True
CGSS,2017,a423,marry-well-over-work,98,不知道,106,False
CGSS,2017,a423,marry-well-over-work,99,拒绝回答,4,False
CGSS,2017,a424,fire-women-first,1,完全不同意,3848,True
CGSS,2017,a424,fire-women-first,2,比较不同意,5307,True
CGSS,2017,a424,fire-women-first,3,无所谓同意不同意,1803,True
CGSS,2017,a424,fire-women-first,4,比较同意,1100,True
CGSS,2017,a424,fire-women-first,5,完全同意,245,True
CGSS,2017,a424,fire-women-first,98,不知道,276,False
CGSS,2017,a424,fire-women-first,99,拒绝回答,3,False
CGSS,2017,a425,equal-housework-split,1,完全不同意,335,True
CGSS,2017,a425,equal-housework-split,2,比较不同意,1433,True
CGSS,2017,a425,equal-housework-split,3,无所谓同意不同意,1796,True
CGSS,2017,a425,equal-housework-split,4,比较同意,5444,True
CGSS,2017,a425,equal-housework-split,5,完全同意,3518,True
CGSS,2017,a425,equal-housework-split,98,不知道,52,False
CGSS,2017,a425,equal-housework-split,99,拒绝回答,4,False
CGSS,2018,a421,men-career/women-family,1,完全不同意,1333,True
CGSS,2018,a421,men-career/women-family,2,比较不同意,3553,True
CGSS,2018,a421,men-career/women-family,3,无所谓同意不同意,1695,True
CGSS,2018,a421,men-career/women-family,4,比较同意,4383,True
CGSS,2018,a421,men-career/women-family,5,完全同意,1773,True
CGSS,2018,a421,men-career/women-family,98,不知道,46,False
CGSS,2018,a421,men-career/women-family,99,拒绝回答,4,False
CGSS,2018,a422,men-innately-more-capable,1,完全不同意,1622,True
CGSS,2018,a422,men-innately-more-capable,2,比较不同意,4533,True
CGSS,2018,a422,men-innately-more-capable,3,无所谓同意不同意,1950,True
CGSS,2018,a422,men-innately-more-capable,4,比较同意,3517,True
CGSS,2018,a422,men-innately-more-capable,5,完全同意,1083,True
CGSS,2018,a422,men-innately-more-capable,98,不知道,77,False
CGSS,2018,a422,men-innately-more-capable,99,拒绝回答,5,False
CGSS,2018,a423,marry-well-over-work,1,完全不同意,1362,True
CGSS,2018,a423,marry-well-over-work,2,比较不同意,3624,True
CGSS,2018,a423,marry-well-over-work,3,无所谓同意不同意,2569,True
CGSS,2018,a423,marry-well-over-work,4,比较同意,3815,True
CGSS,2018,a423,marry-well-over-work,5,完全同意,1303,True
CGSS,2018,a423,marry-well-over-work,98,不知道,104,False
CGSS,2018,a423,marry-well-over-work,99,拒绝回答,10,False
CGSS,2018,a424,fire-women-first,1,完全不同意,3517,True
CGSS,2018,a424,fire-women-first,2,比较不同意,5510,True
CGSS,2018,a424,fire-women-first,3,无所谓同意不同意,2354,True
CGSS,2018,a424,fire-women-first,4,比较同意,869,True
CGSS,2018,a424,fire-women-first,5,完全同意,202,True
CGSS,2018,a424,fire-women-first,98,不知道,326,False
CGSS,2018,a424,fire-women-first,99,拒绝回答,9,False
CGSS,2018,a425,equal-housework-split,1,完全不同意,305,True
