column,name,explanation,n,mean,sd,min,max,n_missing,missing_pct,dataset,year,survey_year
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),26076,14255.6122,48182.8376,0.0000,5000000.0000,3617,12.1813,ACWF,2010,ACWF 2010
log_income,log(1 + income),Natural log of (1+income),26076,7.3203,3.8546,0.0000,15.4249,3617,12.1813,ACWF,2010,ACWF 2010
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",31554,0.5982,0.1737,0.0000,1.0000,8214,20.6548,CFPS,2014,CFPS 2014
female,Female (0/1),"1 if respondent is female, 0 if male",37147,0.5000,0.5000,0.0000,1.0000,2621,6.5907,CFPS,2014,CFPS 2014
birthy,Birth year,4-digit year of birth,37131,1968.7777,17.4006,1920.0000,2004.0000,2637,6.6310,CFPS,2014,CFPS 2014
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",35893,0.2643,0.4409,0.0000,1.0000,3875,9.7440,CFPS,2014,CFPS 2014
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),37094,7.4958,4.7548,0.0000,22.0000,2674,6.7240,CFPS,2014,CFPS 2014
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,23983,0.9827,0.1302,0.0000,1.0000,15785,39.6927,CFPS,2014,CFPS 2014
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,39768,100.0000,CFPS,2014,CFPS 2014
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,728,64.7802,17.6106,16.0000,85.0000,39040,98.1694,CFPS,2014,CFPS 2014
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,837,15.7718,1.8455,9.0000,23.0000,38931,97.8953,CFPS,2014,CFPS 2014
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),19419,13768.0145,22912.1020,0.0000,442000.0000,20349,51.1693,CFPS,2014,CFPS 2014
log_income,log(1 + income),Natural log of (1+income),19419,4.7449,4.9991,0.0000,12.9991,20349,51.1693,CFPS,2014,CFPS 2014
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",22692,0.5348,0.1992,0.0000,1.0000,5838,20.4627,CFPS,2020,CFPS 2020
female,Female (0/1),"1 if respondent is female, 0 if male",28530,0.5009,0.5000,0.0000,1.0000,0,0.0000,CFPS,2020,CFPS 2020
birthy,Birth year,4-digit year of birth,27104,1975.2141,19.5144,1920.0000,2010.0000,1426,4.9982,CFPS,2020,CFPS 2020
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",22919,0.2809,0.4495,0.0000,1.0000,5611,19.6670,CFPS,2020,CFPS 2020
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),27244,8.3194,4.8493,0.0000,22.0000,1286,4.5075,CFPS,2020,CFPS 2020
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,18196,0.9847,0.1227,0.0000,1.0000,10334,36.2215,CFPS,2020,CFPS 2020
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,2185,35.6165,15.4862,20.0000,90.0000,26345,92.3414,CFPS,2020,CFPS 2020
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,28530,100.0000,CFPS,2020,CFPS 2020
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,28530,100.0000,CFPS,2020,CFPS 2020
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10274,45752.8311,45644.2768,0.0000,1000000.0000,18256,63.9888,CFPS,2020,CFPS 2020
log_income,log(1 + income),Natural log of (1+income),10274,10.1432,1.7789,0.0000,13.8155,18256,63.9888,CFPS,2020,CFPS 2020
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",11761,0.4457,0.1808,0.0000,1.0000,22,0.1867,CGSS,2010,CGSS 2010
female,Female (0/1),"1 if respondent is female, 0 if male",11783,0.5182,0.4997,0.0000,1.0000,0,0.0000,CGSS,2010,CGSS 2010
birthy,Birth year,4-digit year of birth,11775,1962.7167,15.6543,1920.0000,1993.0000,8,0.0679,CGSS,2010,CGSS 2010
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",11753,0.4861,0.4998,0.0000,1.0000,30,0.2546,CGSS,2010,CGSS 2010
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11768,7.0101,5.0048,0.0000,19.0000,15,0.1273,CGSS,2010,CGSS 2010
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,11775,0.6386,0.4804,0.0000,1.0000,8,0.0679,CGSS,2010,CGSS 2010
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11783,100.0000,CGSS,2010,CGSS 2010
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11783,100.0000,CGSS,2010,CGSS 2010
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11783,100.0000,CGSS,2010,CGSS 2010
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10158,19210.6771,80835.9184,0.0000,6000000.0000,1625,13.7911,CGSS,2010,CGSS 2010
log_income,log(1 + income),Natural log of (1+income),10158,8.2089,3.1448,0.0000,15.6073,1625,13.7911,CGSS,2010,CGSS 2010
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",11755,0.4458,0.1671,0.0000,1.0000,10,0.0850,CGSS,2012,CGSS 2012
female,Female (0/1),"1 if respondent is female, 0 if male",11765,0.4884,0.4999,0.0000,1.0000,0,0.0000,CGSS,2012,CGSS 2012
birthy,Birth year,4-digit year of birth,11757,1963.1196,16.2234,1920.0000,1995.0000,8,0.0680,CGSS,2012,CGSS 2012
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",11023,0.4318,0.4954,0.0000,1.0000,742,6.3068,CGSS,2012,CGSS 2012
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11763,7.0224,5.0655,0.0000,22.0000,2,0.0170,CGSS,2012,CGSS 2012
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,11762,0.6382,0.4805,0.0000,1.0000,3,0.0255,CGSS,2012,CGSS 2012
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11765,100.0000,CGSS,2012,CGSS 2012
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11765,100.0000,CGSS,2012,CGSS 2012
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11765,100.0000,CGSS,2012,CGSS 2012
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10631,21053.9335,32516.4156,0.0000,1000000.0000,1134,9.6388,CGSS,2012,CGSS 2012
log_income,log(1 + income),Natural log of (1+income),10631,8.6182,2.9045,0.0000,13.8155,1134,9.6388,CGSS,2012,CGSS 2012
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",11424,0.4494,0.1701,0.0000,1.0000,14,0.1224,CGSS,2013,CGSS 2013
female,Female (0/1),"1 if respondent is female, 0 if male",11438,0.4968,0.5000,0.0000,1.0000,0,0.0000,CGSS,2013,CGSS 2013
birthy,Birth year,4-digit year of birth,11434,1964.4151,16.3723,1920.0000,1996.0000,4,0.0350,CGSS,2013,CGSS 2013
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",10989,0.4237,0.4942,0.0000,1.0000,449,3.9255,CGSS,2013,CGSS 2013
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11435,7.1242,5.0866,0.0000,22.0000,3,0.0262,CGSS,2013,CGSS 2013
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,11436,0.6257,0.4840,0.0000,1.0000,2,0.0175,CGSS,2013,CGSS 2013
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11438,100.0000,CGSS,2013,CGSS 2013
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11438,100.0000,CGSS,2013,CGSS 2013
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11438,100.0000,CGSS,2013,CGSS 2013
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10243,23814.4280,36753.2642,0.0000,1000000.0000,1195,10.4476,CGSS,2013,CGSS 2013
log_income,log(1 + income),Natural log of (1+income),10243,8.5164,3.2578,0.0000,13.8155,1195,10.4476,CGSS,2013,CGSS 2013
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",10951,0.4473,0.1722,0.0000,1.0000,17,0.1550,CGSS,2015,CGSS 2015
female,Female (0/1),"1 if respondent is female, 0 if male",10968,0.5319,0.4990,0.0000,1.0000,0,0.0000,CGSS,2015,CGSS 2015
birthy,Birth year,4-digit year of birth,10968,1964.6028,16.8977,1920.0000,1997.0000,0,0.0000,CGSS,2015,CGSS 2015
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",10947,0.4342,0.4957,0.0000,1.0000,21,0.1915,CGSS,2015,CGSS 2015
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),10949,7.0375,5.1815,0.0000,22.0000,19,0.1732,CGSS,2015,CGSS 2015
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,10968,0.5725,0.4947,0.0000,1.0000,0,0.0000,CGSS,2015,CGSS 2015
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,10968,100.0000,CGSS,2015,CGSS 2015
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,10968,100.0000,CGSS,2015,CGSS 2015
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,10968,100.0000,CGSS,2015,CGSS 2015
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10363,32805.3319,205840.5522,0.0000,9999990.0000,605,5.5160,CGSS,2015,CGSS 2015
log_income,log(1 + income),Natural log of (1+income),10363,8.2190,3.7509,0.0000,16.1181,605,5.5160,CGSS,2015,CGSS 2015
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",12558,0.4208,0.1884,0.0000,1.0000,24,0.1907,CGSS,2017,CGSS 2017
female,Female (0/1),"1 if respondent is female, 0 if male",12582,0.5283,0.4992,0.0000,1.0000,0,0.0000,CGSS,2017,CGSS 2017
birthy,Birth year,4-digit year of birth,12579,1966.0028,16.8482,1921.0000,1999.0000,3,0.0238,CGSS,2017,CGSS 2017
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",12528,0.4598,0.4984,0.0000,1.0000,54,0.4292,CGSS,2017,CGSS 2017
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),12582,7.4840,5.3196,0.0000,22.0000,0,0.0000,CGSS,2017,CGSS 2017
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,12582,0.5591,0.4965,0.0000,1.0000,0,0.0000,CGSS,2017,CGSS 2017
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,12582,100.0000,CGSS,2017,CGSS 2017
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,12582,100.0000,CGSS,2017,CGSS 2017
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,12582,100.0000,CGSS,2017,CGSS 2017
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),11899,41076.2761,233354.1725,0.0000,9993600.0000,683,5.4284,CGSS,2017,CGSS 2017
log_income,log(1 + income),Natural log of (1+income),11899,8.3485,3.8484,0.0000,16.1175,683,5.4284,CGSS,2017,CGSS 2017
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",12766,0.4122,0.1831,0.0000,1.0000,21,0.1642,CGSS,2018,CGSS 2018
female,Female (0/1),"1 if respondent is female, 0 if male",12787,0.5331,0.4989,0.0000,1.0000,0,0.0000,CGSS,2018,CGSS 2018
birthy,Birth year,4-digit year of birth,12782,1966.1905,16.9185,1920.0000,2000.0000,5,0.0391,CGSS,2018,CGSS 2018
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",12755,0.4517,0.4977,0.0000,1.0000,32,0.2503,CGSS,2018,CGSS 2018
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),12758,7.2687,5.3526,0.0000,19.0000,29,0.2268,CGSS,2018,CGSS 2018
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,12787,0.5391,0.4985,0.0000,1.0000,0,0.0000,CGSS,2018,CGSS 2018
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,12787,100.0000,CGSS,2018,CGSS 2018
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,12787,100.0000,CGSS,2018,CGSS 2018
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,12787,100.0000,CGSS,2018,CGSS 2018
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),12106,41494.2488,192036.0219,0.0000,9950000.0000,681,5.3257,CGSS,2018,CGSS 2018
log_income,log(1 + income),Natural log of (1+income),12106,8.3760,3.8752,0.0000,16.1131,681,5.3257,CGSS,2018,CGSS 2018
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",7015,0.3777,0.2050,0.0000,1.0000,4311,38.0629,CGSS,2023,CGSS 2023
female,Female (0/1),"1 if respondent is female, 0 if male",11326,0.4513,0.4976,0.0000,1.0000,0,0.0000,CGSS,2023,CGSS 2023
birthy,Birth year,4-digit year of birth,11242,1975.2477,16.7188,1929.0000,2005.0000,84,0.7417,CGSS,2023,CGSS 2023
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",11261,0.4981,0.5000,0.0000,1.0000,65,0.5739,CGSS,2023,CGSS 2023
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),11325,10.1835,5.5071,0.0000,22.0000,1,0.0088,CGSS,2023,CGSS 2023
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,5583,0.5124,0.4999,0.0000,1.0000,5743,50.7063,CGSS,2023,CGSS 2023
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,11326,100.0000,CGSS,2023,CGSS 2023
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,11326,100.0000,CGSS,2023,CGSS 2023
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,11326,100.0000,CGSS,2023,CGSS 2023
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),10621,70178.7390,205231.4933,0.0000,9991300.0000,705,6.2246,CGSS,2023,CGSS 2023
log_income,log(1 + income),Natural log of (1+income),10621,9.0561,3.9056,0.0000,16.1172,705,6.2246,CGSS,2023,CGSS 2023
ideation,Gender-ideology index,"Mean of valid items, mapped to [0,1]; 1 = most traditional",8131,0.3946,0.2011,0.0000,1.0000,17,0.2086,CGSS,2021,CGSS 2021
female,Female (0/1),"1 if respondent is female, 0 if male",8148,0.5485,0.4977,0.0000,1.0000,0,0.0000,CGSS,2021,CGSS 2021
birthy,Birth year,4-digit year of birth,8148,1969.3563,17.5739,1922.0000,2003.0000,0,0.0000,CGSS,2021,CGSS 2021
urban,Urban hukou (0/1),"Hukou: 农业=rural, 非农业 or 居民=urban; see method",8055,0.3989,0.4897,0.0000,1.0000,93,1.1414,CGSS,2021,CGSS 2021
edu_yrs,"Education (years, current)",Highest completed level mapped to years (continuous),8127,7.6817,5.2722,0.0000,19.0000,21,0.2577,CGSS,2021,CGSS 2021
employed,Currently employed (0/1),Survey-specific employment indicator; see method note,8148,0.5022,0.5000,0.0000,1.0000,0,0.0000,CGSS,2021,CGSS 2021
isei_current,Occupation ISEI (current),Current-job ISEI; only CFPS 2020 has it directly,0,,,,,8148,100.0000,CGSS,2021,CGSS 2021
isei_aspiration,Occupation ISEI (aspiration),CFPS 2014 youth (kr1==4): ks801code→ISCO-88→ISEI,0,,,,,8148,100.0000,CGSS,2021,CGSS 2021
edu_aspiration,Education aspiration (yrs),CFPS 2014 youth (kr1==4): qc201 level → years,0,,,,,8148,100.0000,CGSS,2021,CGSS 2021
income,Personal income (RMB),Annual personal income (urban monthly for ACWF 1990),7333,51241.0993,332375.6580,0.0000,9999990.0000,815,10.0025,CGSS,2021,CGSS 2021
log_income,log(1 + income),Natural log of (1+income),7333,8.0820,4.2276,0.0000,16.1181,815,10.0025,CGSS,2021,CGSS 2021
